Name_matched,Height_mean,LA_mean,LN_mean,LMA_mean,SSD_mean,SM_mean
Callitris columellaris,11.91818182,17.61705556,11.91601941,0.313926033,0.584335502,6.142
Calluna vulgaris,0.546205882,7.653731503,14.53690164,0.104503743,0.481638311,2.02484381
Calocedrus decurrens,58.00666667,NA,NA,NA,NA,29.78567614
Calocedrus macrolepis,NA,NA,NA,NA,0.4519565,NA
Calochortus albus,NA,NA,NA,NA,NA,2.358333333
Calochortus macrocarpus,0.54864,NA,NA,NA,NA,2.24
Calochortus obispoensis,NA,NA,NA,NA,NA,1.6605
Calochortus pulchellus,NA,NA,NA,NA,NA,3.9
Calochortus tiburonensis,NA,NA,NA,NA,NA,3.38
Calycophyllum spruceanum,40,2570.395783,NA,NA,0.68275,NA
Camellia japonica,11,NA,11.21871373,0.10121929,NA,1108.666667
Campanula americana,1.8288,NA,19.63,0.0216,NA,0.292749483
Carapa guianensis,51.25,15347.15517,15.08692578,0.113809129,0.514747046,20841.85
Carduus nutans,1.033333333,4599,33.08,0.071351524,0.162767333,3.535
Carex bigelowii,0.186384,430.126,20.45222222,0.094944204,NA,0.649166667
Carex humilis,0.081666667,121.75,NA,0.05425936,NA,1.31372
Carex membranacea,0.178333333,NA,NA,NA,NA,0.955
Carlina vulgaris,0.386,252.4040278,15.39130243,0.066846074,0.111143617,1.442050794
Carnegiea gigantea,15.24,NA,NA,NA,NA,1.25
Carum carvi,0.477266667,1254.93,29.61185836,0.047145387,0.80589,2.221111111
Caryocar brasiliense,3.938,NA,14.24392857,0.093479809,0.65,NA
Cassia nemophila,NA,NA,NA,NA,NA,29.406
Cassine transvaalensis,NA,NA,NA,NA,0.82656,NA
Castanea dentata,33.09125,NA,22.854,0.058303062,0.5,3643.022585
Castanopsis chinensis,20,NA,16.91831182,0.057901794,0.624225,400
Catopsis sessiliflora,NA,NA,10.26666667,0.043374347,0.121193524,NA
Cecropia obtusifolia,26.10883054,154468.2,26.07604389,0.071805093,0.29279644,0.688333333
Cedrela odorata,32.12962344,2980.038668,30.77209159,0.080886067,0.448136659,20.72009489
Centaurea corymbosa,NA,NA,NA,NA,NA,2.24
Centaurea jacea,0.65751807,1169.05948,24.92928493,0.05510115,0.273822394,1.337877778
Centaurea solstitialis,0.61,961.25,NA,0.036010083,NA,3.133333333
Centaurea stoebe,0.975,530.655,NA,0.054996176,NA,1.2
Cephalanthera damasonium,0.38125,1607.25,NA,0.032671721,NA,0.005
Cephalanthera longifolia,0.234666667,1368.948429,30.50383066,0.030736061,0.178610392,0.004
Cerastium fontanum,0.234932292,81.81758333,24.02633333,0.03860001,0.556087756,0.132552778
Cerastium pumilum,0.101666667,13.551,NA,0.048635769,0.1618835,0.049653333
Chaerophyllum aureum,0.941666667,NA,38.68194444,0.049560892,0.719037,7.5665
Chamaecrista fasciculata,0.55576,10.5863168,22.89,0.073541646,0.641245772,8.153917503
Chamaedorea ernesti-augusti,2.5,NA,NA,NA,NA,280
Chenopodium album,0.811820663,1102.82974,34.80317113,0.046134094,0.188747023,0.767714286
Chlorocardium rodiei,NA,NA,15,NA,0.8580275,32421.28889
Choerospondias axillaris,30,NA,18.79509259,0.023624747,0.4868705,2070.633333
Cinnamomum camphora,16.474,2604.143,15.3565738,0.075354301,0.487403,108.0791667
Cirsium acaule,0.1075,1813.575444,11.25,0.082352331,0.208665716,4.0696
Cirsium arvense,0.69916427,2360.086589,23.84132773,0.068525428,0.1830256,1.15383433
Cirsium canescens,NA,NA,NA,NA,NA,13.41
Cirsium dissectum,0.473333333,2354.47,17.25750341,0.055606084,0.207416268,2.2578625
Cirsium neomexicanum,NA,NA,NA,NA,NA,5.47
Cirsium palustre,1.01,4824.933333,17.99061303,0.056607293,0.0983,2.010719048
Cirsium pannonicum,0.655,2804.99522,18.17004,0.065986364,0.190042436,2.23
Cirsium scariosum,NA,NA,NA,NA,NA,8.8045
Cirsium undulatum,1.2,NA,23.55,0.1394,NA,5.316666667
Cirsium vulgare,1.038571429,8116.4,32.5,0.076009735,0.172232957,2.642575926
Clarkia xantiana,NA,NA,NA,NA,NA,0.125
Cleome droserifolia,NA,NA,NA,NA,NA,0.14
Cleyera japonica,8.225,1120,10.11326519,0.11164858,0.5472015,NA
Clidemia hirta,3,4930,27.6,0.0463,NA,0.03
Clintonia borealis,0.33528,4846.25,18.95,0.029134165,NA,NA
Cochlearia pyrenaica,NA,NA,NA,NA,NA,0.69
Colchicum autumnale,0.266666667,5411.05,NA,0.04564126,NA,6.104713889
Collinsia verna,NA,NA,NA,NA,NA,3.2
Colubrina spinosa,NA,9936.505,36.29,0.057365667,0.5389273,NA
Commelina benghalensis,NA,NA,25.93,NA,NA,NA
Commelina erecta,NA,637.827,12.36,0.032289532,NA,11.47
Corallorhiza trifida,0.23,NA,NA,NA,NA,NA
Cornus florida,9.725814286,5048.911285,18.33437636,0.056824756,0.8,112.5459004
Cornus racemosa,5.6385,1052.083583,16.57308333,0.064236599,NA,35.07958752
Crossopteryx febrifuga,NA,NA,NA,NA,0.701715,6.31
Cryptantha flava,0.6,NA,NA,NA,NA,2.25
Cryptocarya chinensis,20,NA,17.66711192,0.077345224,0.5,NA
Cucurbita pepo,6.75,28965,NA,0.056753689,NA,150.22
Cupressus guadalupensis,9.14,NA,NA,NA,NA,12.1908
Curatella americana,2.37,NA,10.6114383,0.161986645,0.593178375,19.9175
Cynoglossum officinale,0.613888889,4131.75,NA,0.047531147,0.17971,30.59612
Cypripedium acaule,NA,NA,NA,NA,NA,0.003
Cypripedium calceolus,0.325,NA,NA,NA,NA,NA
Cypripedium fasciculatum,NA,NA,NA,NA,NA,0.001
Cytisus scoparius,1.979659259,28.14500741,30.575,0.059508039,NA,8.14788794
Dacrydium elatum,NA,NA,NA,NA,0.476666667,NA
Dactylorhiza lapponica,0.2,NA,NA,NA,NA,NA
Daucus carota,0.481286738,33,25.96665059,0.058436108,0.129066986,0.975451493
Desmoncus orthacanthos,NA,5250,NA,NA,NA,365.382
Dicentra canadensis,NA,NA,NA,NA,NA,1.25
Dicorynia guianensis,29.19187158,5584.094614,23.43817325,0.090672035,0.596507273,350
Dicymbe altsonii,NA,NA,14.9,NA,0.75768,6632.8
Digitalis purpurea,1.116416667,32204,37.8,0.050439212,0.22294,0.085260417
Digitaria eriantha,0.6096,NA,16.25973684,0.061428835,NA,0.87
Dimerandra emarginata,NA,NA,8.9,0.107760195,0.228369892,NA
Dipsacus fullonum,1.276607143,23937,13.8,0.05466671,0.307566,2.259725
Disporum sessile,0.42,NA,NA,NA,NA,NA
Distylium racemosum,16.5,NA,NA,NA,0.712908,NA
Dodonaea viscosa,3.067333333,212.7417666,19.2247816,0.163537755,0.998466,7.27465
Dorycnium spectabile,1.5,NA,NA,0.080515298,NA,NA
Draba asterophora,NA,NA,NA,NA,NA,0.142
Dracocephalum austriacum,0.3,NA,NA,NA,NA,0.54
Drosera anglica,0.083333333,89.195,NA,0.042363368,0.149318,0.02865
Drosera rotundifolia,0.089166667,50.25,12.75185633,0.024833867,0.16653926,0.017015
Dryas octopetala,0.186565212,241.8971429,22.48608083,0.096716451,0.262425,0.522731699
Duguetia neglecta,NA,NA,NA,NA,NA,293.3333333
Echinacea angustifolia,NA,NA,16.85,0.105,NA,124.5333333
Echinocactus platyacanthus,NA,NA,NA,NA,NA,2.73
Echium vulgare,0.583333333,2585.5,23.6,0.062930363,0.170278,2.821941026
Elymus repens,0.657796,850.8694445,28.18338751,0.037836953,0.114754098,3.729350602
Entandrophragma cylindricum,NA,NA,NA,NA,0.571970975,311.53
Eperua falcata,20.97323232,3608.831349,20.21066495,0.07841181,0.721365,6626.666667
Epilobium latifolium,0.2,NA,22.76828947,0.067,NA,0.18
Epipactis atrorubens,0.36,1219.216667,36.77,0.043713156,0.208706,0.01
Erica ciliaris,0.8,NA,11.3,NA,NA,4.885731429
Erigeron canadensis,0.834422222,357.5219132,30.147534,0.049870779,0.320062065,0.093976638
Eriophorum vaginatum,0.405,215,18.22046844,0.158323433,NA,0.880104
Erodium cicutarium,0.247213333,729.4598667,27.33281111,0.038269944,0.29092704,1.957115368
Erodium texanum,NA,NA,NA,NA,NA,1.575
Eryngium alpinum,0.65,NA,NA,NA,NA,NA
Eryngium maritimum,0.363208333,6625.63,NA,0.09565661,0.157298052,16.16131667
Eupatorium perfoliatum,0.9769,14806.2,18.01607504,0.050760345,0.277892858,0.1007
Euptelea pleiosperma,NA,NA,21.4,NA,0.54252,NA
Euterpe edulis,6.6125,NA,20.61111111,0.100488624,0.536519677,NA
Euterpe oleracea,NA,35520,NA,0.120270266,NA,NA
Euterpe precatoria,20,13779.48707,21.742844,0.087622762,0.449291667,NA
Fabiana imbricata,NA,NA,NA,NA,NA,0.08
Fagus crenata,29.65,NA,20.9752381,0.079370436,0.55104,145.9283333
Fagus grandifolia,30.91366667,3946.570084,23.37908394,0.051643538,0.67,263.4378451
Fagus sylvatica,30.43671875,2899.090795,23.05934589,0.055644598,0.684257197,162.1885
Ficus microcarpa,25,NA,16.3,0.1226,NA,0.33
Ficus virens,27,5933.9,NA,0.072715638,0.3444,0.238888889
Flourensia cernua,0.9144,101.056,24.36338,0.115887,NA,4.555615943
Fragaria vesca,0.11972549,2730,17.8568506,0.038463925,0.269642857,3.378680037
Frasera speciosa,0.1254,11096.9,NA,0.088005935,NA,4.74
Fritillaria biflora,NA,NA,NA,NA,NA,1.97
Fritillaria meleagris,0.3125,1145.625,NA,0.046287428,0.111026,2.011565556
Froelichia floridana,NA,NA,NA,NA,NA,2.385833333
Fumana procumbens,0.14625,11.425126,16.43376667,0.105268243,0.2575278,2.635766667
Gaultheria procumbens,0.1524,630.6666667,10.7875,0.090898734,NA,0.148995853
Gentiana pneumonanthe,0.367777778,121,NA,0.060204696,0.2102225,0.052157143
Gentianella amarella,0.219777778,1790.08,31.99333334,0.034789871,0.20591,0.15012
Gentianella bohemica,0.15,NA,NA,NA,NA,NA
Gentianella campestris,0.158133333,NA,21.83,0.025224554,0.334814,0.192030983
Geonoma macrostachys,NA,NA,NA,NA,NA,150
Geranium sylvaticum,0.339291667,3144.792357,25.62917193,0.045687147,0.56730693,5.650444444
Geum reptans,0.1,566.35,28.17275667,0.099054778,0.239520904,0.849666667
Geum rivale,0.505511111,6428,29.5955,0.048547625,0.545462,1.132210163
Gleditsia triacanthos,32.064,NA,28.45425667,0.039261239,0.67,165.0253289
Glottidium vesicarium,NA,NA,NA,NA,NA,227.5
Goodyera pubescens,NA,NA,NA,NA,NA,0.004
Grevillea caleyi,NA,2900.78,NA,0.218712,NA,298.3
Grias peruviana,NA,NA,NA,NA,0.62,NA
Guaiacum sanctum,11.58246667,NA,NA,NA,1.02,333
Gymnadenia conopsea,0.4375,1638.768201,13.93273,0.054969732,0.127301187,0.0075
Hackelia micrantha,NA,NA,NA,NA,NA,2.70275
Helianthella quinquenervis,0.3695,3039.2635,24.984,0.068982027,0.22674,8.302666667
Helianthemum squamatum,0.2,NA,21.4,0.065676506,NA,0.35
Helianthus tuberosus,2.24676,19578.5,15.42,0.06250306,NA,3.896374034
Heliconia acuminata,NA,NA,NA,NA,NA,78.56
Hepatica nobilis,0.092237374,1992.117109,18.36007098,0.05505629,0.248313287,2.99725
Heracleum mantegazzianum,3.416666667,485704.795,NA,0.036164065,0.194906,14.2855
Herminium monorchis,0.186666667,NA,NA,NA,NA,NA
Heteropogon contortus,0.587786667,4092.45,12.42941176,0.045216133,0.2485957,2.058721647
Hieracium floribundum,0.15,482.75,NA,0.039777247,NA,0.095
Hieracium lepidulum,NA,921.5805989,18.38874787,0.040285071,0.179279866,NA
Hilaria mutica,0.70104,NA,NA,NA,NA,1.715022734
Himantoglossum hircinum,0.5,3352.5,NA,0.050403226,NA,0.00005
Hordeum spontaneum,0.75,3136.5,NA,0.042175961,0.151874,32.02
Horkelia congesta,NA,NA,NA,NA,NA,1.043
Hydrangea paniculata,NA,NA,NA,NA,NA,0.046666667
Hylocomium splendens,0.05,NA,8,NA,NA,NA
Hyparrhenia diplandra,3,NA,NA,NA,NA,NA
Hypochaeris radicata,0.298389969,992.3968985,16.07426785,0.057693981,0.163261969,0.735993197
Impatiens capensis,1.296284,1474.594861,24.16989936,0.02320833,0.151830178,4.483187344
Ipomoea leptophylla,NA,NA,NA,NA,NA,105
Ipomopsis aggregata,0.610133333,246.4751429,18.53,0.087358458,0.17709,1.632154706
Iriartea deltoidea,26.11111111,76663.0765,21.05972788,0.101630368,0.320651203,3900
Iris germanica,0.5695,8830.07,15.31,0.100848829,NA,51.98333333
Iris pseudacorus,0.925,20873.75,15,0.064057577,0.178890554,46.51447381
Isatis tinctoria,0.883333333,1459.375,NA,0.057864427,NA,2.44625
Jacobaea vulgaris,0.84175,3894.006667,19.06502222,0.047346374,0.317225394,0.221541719
Juniperus procera,40,NA,NA,NA,NA,28.26166667
Juniperus sabina,2.275,NA,NA,NA,NA,NA
Kalanchoe pinnata,NA,NA,8.8,NA,NA,NA
Khaya senegalensis,NA,NA,23.1,NA,0.631446008,224.0255556
Knautia arvensis,0.520466667,2639.717616,24.89590756,0.056314703,0.25580714,4.599577513
Koeleria macrantha,0.305797129,339.9272758,16.75256219,0.082446764,0.22687697,0.311942661
Koelreuteria bipinnata,NA,NA,NA,NA,0.57,74.97
Lacistema pubescens,8.25,3075.9,18.575,0.115406519,0.476603196,NA
Lactuca sativa,0.8,NA,NA,0.048732943,NA,1.042083333
Lactuca serriola,1.045833333,3724.816263,29.01056833,0.05553049,0.192994981,0.496646296
Lactuca virosa,1.000625,7644.6875,NA,0.040784676,0.181107333,0.895375
Lantana camara,3.25,3172.6049,26.07083333,0.044597177,0.595,14.49888889
Larrea tridentata,2.682666667,28.68906691,21.72994948,0.206105531,NA,6.887612147
Lathyrus vernus,0.192350427,491.7235323,35.07050047,0.022091123,0.144090054,15.7064
Lemna minor,0.0045,7.4215,27.9,0.033059046,0.10468568,NA
Lepidium campestre,0.585625,305.9166667,NA,0.041703382,0.21901,2.108722222
Lespedeza juncea,0.396,43.514716,18.56,0.050490821,0.625901054,1.530666667
Lespedeza virginica,NA,NA,NA,NA,NA,1.91
Liatris cylindracea,NA,155.4285714,12.8,0.088356301,0.227569438,3.733666667
Liatris scariosa,NA,NA,NA,NA,NA,2.98
Licania heteromorpha,23.14880952,6151.699713,16.17222911,0.120204129,0.792195195,2374.466667
Limonium carolinianum,0.6096,NA,NA,NA,NA,0.754830918
Lindera benzoin,6.24855,NA,18.5,0.02718869,NA,103.8060306
Lindera umbellata,3.6,NA,27.15,0.03625,NA,105.93
Linnaea borealis,0.493125,123.305,10.67916667,0.033338669,0.26,1.439
Linum catharticum,0.172380952,10.03291667,15.8001018,0.043378789,0.314819277,0.147249048
Linum flavum,0.325,NA,NA,NA,NA,0.919666667
Linum tenuifolium,0.266666667,26.452633,28.2501,0.068448603,0.224006148,1.732
Lithospermum ruderale,0.4572,NA,NA,NA,NA,20.41982483
Lithraea molleoides,NA,NA,NA,NA,0.396418333,NA
Lobularia maritima,0.182222222,NA,NA,NA,NA,0.362741772
Lodoicea maldivica,NA,NA,NA,NA,NA,20500000
Lonicera maackii,3.6884,NA,20.40865907,0.045762195,NA,3.060125343
Lotus corniculatus,0.278050068,57.55207065,33.35805772,0.05216402,0.308864189,1.297514438
Lupinus arboreus,1.413271429,127.25,NA,0.098156224,NA,32.23741224
Lupinus lepidus,1.8288,NA,NA,NA,NA,11.85653986
Lupinus polyphyllus,1.145833333,NA,33.1021,0.04022316,0.182609,22.38053061
Lupinus tidestromii,NA,NA,NA,NA,NA,37.66
Lythrum salicaria,0.918241667,858.2154735,19.46706797,0.057955823,0.287775182,0.212467917
Magnolia salicifolia,NA,NA,25.25,0.0352,NA,212.77
Manilkara zapota,21.71583333,NA,NA,NA,0.81,126.74
Mauritia flexuosa,25,NA,NA,NA,NA,17280
Medicago arborea,1.75,NA,34.2,NA,NA,7.856666667
Melaleuca viridiflora,20,2800,7.2625,0.230718668,0.831833333,0.323333333
Melampyrum pratense,0.3175,468.0669433,25.05241125,0.046747979,0.330527403,5.7346525
Miconia albicans,2.12,NA,13.96666667,0.203695104,NA,1
Miconia prasina,8.648333333,10519.07778,18.51594903,0.120678736,0.660275076,1.3
Microberlinia bisulcata,NA,NA,NA,NA,0.654535878,NA
Microstegium vimineum,NA,610.5333333,9.895291414,0.021119813,0.1765906,0.304
Mimulus cardinalis,0.762,NA,NA,NA,NA,0.047044928
Mimulus guttatus,0.640666667,2084.0625,NA,0.025391356,0.17054,0.03407808
Mimulus lewisii,NA,NA,NA,NA,NA,0.01875
Minuartia obtusiloba,0.0268,5.240909091,20.795,0.030117458,NA,0.182
Molinia caerulea,0.641318182,801.8397916,20.39403886,0.054897829,0.344352582,0.737791111
Monoptilon bellioides,NA,NA,NA,NA,NA,0.168
Mora paraensis,NA,NA,NA,NA,0.85,38510
Moringa peregrina,NA,NA,NA,NA,NA,508.49
Mulinum spinosum,NA,NA,NA,0.175438596,NA,5.44
Murdannia simplex,NA,NA,NA,NA,NA,1.75
Myoporum platycarpum,8,262.7696,NA,0.227043007,0.880803,4.36
Myosotis ramosissima,0.187916667,187,NA,0.047640304,0.172723333,0.212933333
Myrcia sylvatica,10,359.7665168,NA,NA,NA,NA
Myrsine guianensis,6.893833334,NA,11.83333333,NA,NA,NA
Narcissus poeticus,0.425,4582,21.1,0.053574706,0.115466,6.3
Narcissus pseudonarcissus,0.322222222,1773.5,35.5,0.05184827,0.12479,5.32
Nassella viridula,0.6096,NA,NA,NA,NA,3.352798202
Nothofagus fusca,25.5,545.71895,15,0.067942145,0.614,7.21
Ocotea usambarensis,22.5,NA,NA,NA,0.5140694,50
Oenothera californica,NA,NA,NA,NA,NA,0.73425
Oenothera deltoides,NA,NA,NA,NA,NA,0.406125
Oenothera glazioviana,1.4,NA,NA,NA,NA,0.6218
Onopordum illyricum,NA,NA,NA,NA,NA,12.96266667
Ophrys sphegodes,0.303333333,771.75,NA,0.032467532,NA,NA
Opuntia macrocentra,NA,NA,NA,NA,NA,20.84
Opuntia macrorhiza,NA,NA,NA,NA,NA,22.625
Opuntia stricta,NA,NA,NA,NA,NA,21.92
Orchis purpurea,0.463,8301.25,NA,0.034940601,NA,0.0016
Oryza sativa,0.62,2653.4228,22.08447048,0.052162712,0.360554,27.31111111
Oxalis acetosella,0.0831,217.5137891,27.20066444,0.016101566,0.333388787,1.183761905
Oxandra asbeckii,13.40265152,2337.097955,20.13353661,0.08677991,0.77,500
Pachycereus grandis,NA,NA,NA,NA,NA,11.09
Pachycereus pecten-aboriginum,NA,NA,NA,NA,NA,12.6
Paeonia officinalis,0.725,19556.3535,18.93367667,0.088807626,0.251924254,105.6
Paliurus ramosissimus,NA,NA,NA,NA,NA,133.15
Panax quinquefolius,NA,NA,NA,NA,NA,27.754
Parkinsonia aculeata,11.735,NA,NA,NA,0.6224704,111.1045091
Paronychia pulvinata,0.0194,6.4,NA,0.276543792,NA,NA
Pectocarya recurvata,NA,NA,NA,NA,NA,0.78
Pedicularis lanceolata,NA,NA,NA,NA,NA,0.8
Pentaclethra macroloba,32.5,412.0144815,29.24,0.058113049,0.561948159,5092.5
Persicaria maculosa,0.579582222,1313.521607,22.35741078,0.033410571,0.187604546,2.059316435
Persoonia lanceolata,3,361.7,NA,0.2624,0.64,87.76
Persoonia mollis,1.2,40.3632,NA,0.210092361,NA,NA
Petrophile pulchella,1.7,59.0792,5.864,0.299936357,0.64,5.062666667
Phalaris brachystachys,NA,NA,NA,NA,NA,2.19
Phaseolus lunatus,NA,3570,NA,NA,NA,607.5466667
Phlox drummondii,0.5,NA,NA,NA,NA,1.92
Phyllanthus emblica,NA,NA,15.288,NA,0.635842,403.4425
Picea glehnii,40,NA,NA,NA,NA,3.17
Picea jezoensis,26.25,NA,15.2,NA,0.4341555,3.02
Picris hieracioides,0.492914634,1927.051885,22.81783802,0.038915859,0.26043956,0.983728571
Pilosella officinarum,0.200542857,480.3643029,19.74272913,0.065428302,0.417922848,0.197290043
Pimpinella saxifraga,0.41175,150.9852424,21.42940741,0.060849283,0.606485293,1.185922917
