"","SpeciesAuthor","SpeciesAccepted","CommonName","Genus","Family","Order","Class","Phylum","Kingdom","OrganismType","DicotMonoc","AngioGymno","Authors","Journal","YearPublication","DOI.ISBN","AdditionalSource","StudyDuration","StudyStart","StudyEnd","AnnualPeriodicity","NumberPopulations","MatrixCriteriaSize","MatrixCriteriaOntogeny","MatrixCriteriaAge","MatrixPopulation","Lat","Lon","Altitude","Country","Continent","Ecoregion","StudiedSex","MatrixComposite","MatrixTreatment","MatrixCaptivity","MatrixStartYear","MatrixStartSeason","MatrixStartMonth","MatrixEndYear","MatrixEndSeason","MatrixEndMonth","MatrixSplit","MatrixFec","Observation","MatrixDimension","SurvivalIssue","UID1","checkY","checknote","habitatAuthor","UID_new","Mean_repro","Net_repro","Age_50_dead","Age_99_dead","Age_999_dead","survival_index99","Survival_index999","Survival_index_La_RepExp","Growth","Retrogression","Repro_life_expectancy","Age_at_Maturity","GiniF_repro","Gini_life99","Gini_life999","Gen_time","NSeedStages"
"4125","Primula_elatior","Primula elatior","Oxlip","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Jacquemyn; Brys","Ecology","2008","10.1016/j.biocon.2006.07.016","Jacquemyn Ecol 2008 matrices.xls; Jacquemyn Ecol 2008 distributions.xls",4,2004,2007,"1",7,"Plant size","Yes","Yes","139 yr old forest",50.85,4.88333333333333,60,"BEL","Europe","TBM","A","Individual","Unmanipulated","W",2004,NA,NA,2007,NA,NA,"Divided","Yes",NA,5,1,23,"Y","use as is","forest",79,0.377468962338696,10.980430192141,2,320,640,0.00625,0.003125,0.0134000049371672,0.162720499247305,0.0542822383847034,140.439666959541,8.81400939192521,0.00228501559790555,0.0202760955047495,0.0101738680099181,47.9203179357854,0
"4129","Primula_elatior","Primula elatior","Oxlip","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Jacquemyn; Brys","Ecology","2008","10.1016/j.biocon.2006.07.016","Jacquemyn Ecol 2008 matrices.xls; Jacquemyn Ecol 2008 distributions.xls",4,2004,2007,"1",7,"Plant size","Yes","Yes","186 yr old forest",50.85,4.88333333333333,60,"BEL","Europe","TBM","A","Individual","Unmanipulated","W",2004,NA,NA,2007,NA,NA,"Divided","Yes",NA,5,0.984848484848485,24,"Y","use as is","forest",80,0.612699221104237,13.0606004105446,2,110,211,0.0181818181818182,0.00947867298578199,0.0402515247674414,0.219626978795249,0.0181363926878883,44.6309206012623,5.05663810751383,0.0126729745685549,0.0590180096621006,0.0308753640657036,21.7211048573102,0
"4133","Primula_elatior","Primula elatior","Oxlip","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Jacquemyn; Brys","Ecology","2008","10.1016/j.biocon.2006.07.016","Jacquemyn Ecol 2008 matrices.xls; Jacquemyn Ecol 2008 distributions.xls",4,2004,2007,"1",7,"Plant size","Yes","Yes","223 yr old forest",50.85,4.88333333333333,60,"BEL","Europe","TBM","A","Individual","Unmanipulated","W",2004,NA,NA,2007,NA,NA,"Divided","Yes",NA,5,1,25,"Y","use as is","forest",81,0.450817972983237,NA,NA,NA,NA,NA,NA,NA,0.208104031991009,0.0329751013214507,NA,NA,NA,NA,NA,NA,0
"4138","Primula_farinosa","Primula farinosa","Bird's-eye primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Lindborg; Ehrlén","Cons Biol","2002","10.1046/j.1523-1739.2002.00509.x",NA,4,1996,1999,"1",6,"Rosette diameter","No","No","Karbomosse",58.03,13.49,NA,"SWE","Europe","TBM","A","Individual","Unmanipulated","W",1996,NA,NA,1999,NA,NA,"Divided","Yes",NA,4,0.970666666666667,26,"Y_edits","lat long added","Grassland",82,0.141813117017846,2.17763265491508,10,59,88,0.169491525423729,0.113636363636364,0.508521380054219,0.308300050056587,0.105222823226471,12.8987385593983,6.76611800756413,0.00107309693774257,0.0511584636625989,0.0342219612930834,12.5712513772404,0
"4142","Primula_farinosa","Primula farinosa","Bird's-eye primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Lindborg; Ehrlén","Cons Biol","2002","10.1046/j.1523-1739.2002.00509.x",NA,4,1996,1999,"1",6,"Rosette diameter","No","No","Rossholm",60.58,17.88,NA,"SWE","Europe","TBM","A","Individual","Unmanipulated","W",1996,NA,NA,1999,NA,NA,"Divided","Yes",NA,4,0.940666666666667,27,"Y_edits","lat long added","Grassland",83,0.108287566511564,0.627480447962192,3,44,69,0.0681818181818182,0.0434782608695652,0.163648360176167,0.246266893001644,0.136366512673502,11.562286110045,6.76970326504251,0.00752940254893737,0.0969071184555101,0.0618623133229316,17.0799221800012,0
"4146","Primula_farinosa","Primula farinosa","Bird's-eye primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Lindborg; Ehrlén","Cons Biol","2002","10.1046/j.1523-1739.2002.00509.x",NA,4,1996,1999,"1",6,"Rosette diameter","No","No","Flottskär",NA,NA,NA,"SWE","Europe","TBM","A","Individual","Unmanipulated","W",1997,NA,NA,1999,NA,NA,"Divided","Yes",NA,4,0.9135,28,"Y_edits","lat long added","Grassland",84,0.116998080140602,0.928457978668665,5,47,71,0.106382978723404,0.0704225352112676,0.263320525220866,0.212533417980277,0.0756263039837595,11.140578090151,7.84768724087909,0.00544155695243731,0.0904294194917063,0.0600351988281921,15.3322362467778,0
"4292","Primula_vulgaris","Primula vulgaris","English primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Valverde; Silvertown","J Ecol","1998","10.1046/j.1365-2745.1998.00280.x",NA,3,1992,1994,"1",8,"Plant area","No","No","DE7",51.7778083333333,0.693977777777778,187,"GBR","Europe","TBM","A","Individual","Unmanipulated","W",1993,NA,NA,1994,NA,NA,"Divided","Yes","Canopy openess: 13,21%",5,1,29,"Y_edits","DOI added","forest",85,0.115318322027441,0.134480480847412,2,19,31,0.105263157894737,0.0645161290322581,0.237460276114289,0.208388059435555,0.150697014539242,5.26721245898228,3.15524890056488,0.0868478457621679,0.236741856511919,0.146841620745462,14.0883766802553,0
"4294","Primula_vulgaris","Primula vulgaris","English primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Valverde; Silvertown","J Ecol","1998","10.1046/j.1365-2745.1998.00280.x",NA,3,1992,1994,"1",8,"Plant area","No","No","DE2",51.7778083333333,0.693977777777778,187,"GBR","Europe","TBM","A","Individual","Unmanipulated","W",1992,NA,NA,1994,NA,NA,"Divided","Yes","Canopy openess: 12,01%",5,1,30,"Y_edits","DOI added","forest",86,1.00483956281927,268.434550975295,2,244,411,0.00819672131147541,0.0048661800486618,0.0275988855969188,0.37641663191738,0.0121304180944541,68.7193509761983,3.74734312188819,0.0078896481526886,0.0213969400906385,0.0127133842790203,12.0410024885966,0
"4297","Primula_vulgaris","Primula vulgaris","English primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Valverde; Silvertown","J Ecol","1998","10.1046/j.1365-2745.1998.00280.x",NA,3,1992,1994,"1",8,"Plant area","No","No","DE5",51.7778083333333,0.693977777777778,187,"GBR","Europe","TBM","A","Individual","Unmanipulated","W",1992,NA,NA,1994,NA,NA,"Divided","Yes","Canopy openess: 5,95%",5,0.993,31,"Y_edits","DOI added","forest",87,0.740989599493295,103.03413493729,2,251,411,0.00796812749003984,0.0048661800486618,0.0290687493156563,0.431711104146911,0.032497730600023,65.5434696757105,3.25894002833577,0.00546502733509311,0.0167038291141967,0.0102050604119525,12.8673999729751,0
"4300","Primula_vulgaris","Primula vulgaris","English primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Valverde; Silvertown","J Ecol","1998","10.1046/j.1365-2745.1998.00280.x",NA,3,1992,1994,"1",8,"Plant area","No","No","WW",51.9666666666667,0.65,145,"GBR","Europe","TBM","A","Individual","Unmanipulated","W",1992,NA,NA,1994,NA,NA,"Divided","Yes","Canopy openess: 5,65%",5,0.9825,32,"Y_edits","DOI added","forest",88,0.0515644857385372,0.276568458115875,2,56,90,0.0357142857142857,0.0222222222222222,0.111960926707909,0.183419073857874,0.159234578210317,14.7867386037126,3.07663622541621,0.0149041829514587,0.0574493520567286,0.0357888807236357,28.2480481667067,0
"4303","Primula_vulgaris","Primula vulgaris","English primrose","Primula","Primulaceae","Ericales","Magnoliopsida","Magnoliophyta","Plantae","Herbaceous perennial","Eudicot","Angiosperm","Valverde; Silvertown","J Ecol","1998","10.1046/j.1365-2745.1998.00280.x",NA,3,1992,1994,"1",8,"Plant area","No","No","SF",52.1494972222222,0.811747222222222,114,"GBR","Europe","TBM","A","Individual","Unmanipulated","W",1992,NA,NA,1994,NA,NA,"Divided","Yes","Canopy openess: 3,09%",5,0.985,33,"Y_edits","DOI added","forest",89,0.103276075757791,0.89334465608877,2,110,192,0.0181818181818182,0.0104166666666667,0.0622268572978532,0.201975346195695,0.142570195930747,29.3216852743898,2.81877765188111,0.0144236560912361,0.0341827553535596,0.0195837416614392,41.0259295855364,0
